# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
a a a 	啊啊啊	c=1 d=1 t=9031
a a a a 	啊啊啊啊	c=0 d=0.196561 t=1042
a a a a a a 	啊啊啊啊啊啊	c=0 d=0.196561 t=1042
a di 	阿迪	c=1 d=1 t=9234
a di da si 	阿迪達斯	c=2 d=1.15259 t=9611
a fa 	阿伐	c=0 d=0.1 t=6148
a sa da shi dai sa dan 	啊撒大時代撒旦	c=1 d=1 t=1017
a zhe 	啊這	c=1 d=1 t=12488
ai 	愛	c=2 d=0.115222 t=14730
ai ai 	愛愛	c=0 d=0.1 t=11556
ai de 	愛的	c=0 d=0.1 t=1842
ai hao zhe 	愛好者	c=1 d=1 t=15931
ai he 	愛河	c=1 d=1 t=3928
ai le 	愛了	c=1 d=1 t=9990
ai ni 	愛你	c=5 d=1.04414 t=2840
ai qing mai mai 	爱情买卖	c=1 d=1 t=9614
ai tiao wu 	愛跳舞	c=2 d=1.99501 t=14732
ai yu 	礙於	c=0 d=0.1 t=6549
ai yu mian zi 	礙於面子	c=1 d=1 t=6550
ai zi bing 	艾滋病	c=1 d=1 t=5189
an 	俺	c=1 d=1.0172 t=13091
an 	按	c=1 d=1 t=6408
an jing 	安靜	c=1 d=1 t=11021
an jing yi hui er 	安靜一會兒	c=1 d=1 t=6470
an jiu zhi dao 	俺就知道	c=1 d=1 t=12740
an li 	安利	c=2 d=1.96079 t=11475
an mo 	按摩	c=1 d=1 t=9398
an niu 	按鈕	c=5 d=1.00006 t=3425
an pai 	安排	c=6 d=1.00037 t=18180
an pai le 	安排了	c=1 d=1 t=16138
an pai zai 	安排在	c=1 d=1 t=1935
an quan 	安全	c=15 d=1.46994 t=16555
an quan shui tai shen 	安全水太深	c=1 d=1 t=15589
an quan xing 	安全性	c=2 d=1 t=17770
an shi 	暗示	c=1 d=1 t=5149
an wei 	安慰	c=1 d=0.301981 t=12918
an wei ni 	安慰你	c=1 d=1 t=10145
an wei yi ge 	安慰一個	c=1 d=1 t=12688
an xin 	安心	c=1 d=1 t=10088
an ye shi 	俺也是	c=1 d=1 t=978
an ying dou peng 	暗影斗篷	c=1 d=1 t=647
an zhao 	按照	c=2 d=1 t=14904
an zhao yi ding 	按照一定	c=1 d=1 t=4480
an zhuang 	安裝	c=20 d=1 t=18081
ang 	昂	c=24 d=1.84141 t=18156
ao 	奧	c=73 d=3.16032 t=18197
ao ao 	嗷嗷	c=6 d=1.62638 t=2904
ao hao ba 	奧好吧	c=1 d=1 t=5094
ao te man 	奧特曼	c=1 d=1 t=9278
ba 	八	c=1 d=1 t=15535
ba 	吧	c=43 d=1.00622 t=15390
ba 	把	c=26 d=2.22734 t=18050
ba ba 	爸爸	c=8 d=5.77947 t=12339
ba bai 	八百	c=0 d=0.1 t=5180
ba bai biao bing 	八百標兵	c=1 d=1 t=5181
ba bei zi 	八輩子	c=1 d=1 t=10403
ba chi bu zhu 	把持不住	c=1 d=1 t=15592
ba dian 	八點	c=2 d=1.93707 t=7173
ba dong xi 	把東西	c=1 d=1 t=9670
ba ji 	吧唧	c=1 d=1 t=5834
ba jie tu 	把截圖	c=1 d=1 t=16023
ba ma 	爸媽	c=1 d=1.09753 t=9090
ba ni 	把你	c=4 d=1 t=14317
ba ni tou 	把你頭	c=3 d=1 t=14848
ba qiu 	把球	c=1 d=1 t=12573
ba shang mian 	把上面	c=1 d=1 t=3800
ba ta 	把他	c=0 d=0.1 t=2695
ba ta 	把它	c=1 d=1 t=12348
ba ta zai 	把它再	c=1 d=1 t=4483
ba wo 	把我	c=3 d=1 t=16870
ba xiang dao 	吧想到	c=1 d=1 t=2227
ba zhe ge 	把這個	c=1 d=1 t=9040
ba zi ji 	把自己	c=1 d=1 t=3813
bai 	白	c=0 d=0.1 t=3090
bai deng 	拜登	c=1 d=1 t=6687
bai du 	百度	c=9 d=1.00004 t=18044
bai fang 	拜訪	c=0 d=0.1 t=199
bai fang 	擺放	c=2 d=1.99501 t=202
bai fang wei zhi 	拜訪位置	c=1 d=1 t=200
bai huo 	百貨	c=3 d=1.02061 t=10391
bai ke 	百科	c=1 d=1 t=15709
bai le 	擺了	c=0 d=0.1 t=5151
bai lu 	白鷺	c=1 d=1 t=10381
bai mei gui 	白玫瑰	c=1 d=1 t=15292
bai ming dan 	白名單	c=5 d=1.45578 t=17668
bai niao chao feng 	百鳥朝鳳	c=2 d=1.99501 t=15521
bai pi shu 	白皮書	c=1 d=1 t=4150
bai se 	白色	c=4 d=1.00783 t=16727
bai tiao 	白條	c=1 d=1 t=9563
bai tuo le 	拜託了	c=0 d=0.1 t=14679
bai yan lang 	白眼狼	c=1 d=1 t=14132
bai yue guang 	白月光	c=2 d=1.10646 t=15587
ban 	搬	c=2 d=0.100001 t=12245
ban 	版	c=3 d=1 t=18029
ban 	班	c=6 d=1.00017 t=16151
ban 	般	c=1 d=1 t=10129
ban 	辦	c=3 d=1 t=16152
ban ben 	版本	c=3 d=1 t=18108
ban ben de 	版本的	c=1 d=1 t=230
ban dao 	搬到	c=1 d=1 t=10750
ban dong 	搬動	c=3 d=2.77141 t=12274
ban fa 	辦法	c=13 d=1.86949 t=18104
ban hui 	板繪	c=1 d=1 t=3989
ban ji 	班級	c=2 d=1 t=8357
ban jia 	搬家	c=3 d=1.09501 t=9646
ban jia le 	搬嫁了	c=1 d=1 t=9644
ban jia le 	搬家了	c=2 d=1.99501 t=9648
ban jie 	半截	c=1 d=1 t=607
ban jing 	半徑	c=2 d=1.99005 t=12122
ban ka 	辦卡	c=1 d=1 t=9379
ban na 	搬那	c=1 d=1 t=12234
ban tian 	半天	c=1 d=0.1 t=13916
ban wan le 	搬完了	c=2 d=1.03223 t=10716
ban yun 	搬運	c=2 d=1.01777 t=3943
ban zhang 	班長	c=1 d=1 t=13274
ban zi 	板子	c=4 d=3.50556 t=14584
bang 	幫	c=1 d=1 t=13638
bang bang wo 	幫幫我	c=1 d=1 t=9712
bang ding 	綁定	c=1 d=1 t=3427
bang mang 	幫忙	c=1 d=0.1 t=14938
bang mang jie da 	幫忙解答	c=1 d=1 t=14939
bang ni 	幫你	c=5 d=1.00001 t=13928
bang shang 	榜上	c=0 d=0.1 t=13636
bang wo 	幫我	c=4 d=1 t=15632
bang wo ge 	幫我個	c=1 d=1 t=5733
bang zhu 	幫助	c=2 d=1 t=10197
bao 	包	c=4 d=0.100225 t=15352
bao 	報	c=3 d=0.1 t=15243
bao 	寶	c=1 d=1 t=15854
bao 	抱	c=0 d=0.1 t=15672
bao bao 	抱抱	c=2 d=1 t=12593
bao bei 	寶貝	c=14 d=5.66218 t=2850
bao biao 	報表	c=2 d=1.9718 t=8682
bao bu shang 	包不上	c=1 d=1 t=8524
bao cun 	保存	c=8 d=1 t=14921
bao cun shu ju 	保存數據	c=1 d=1 t=236
bao cuo 	報錯	c=6 d=1 t=14781
bao cuo le 	報錯了	c=1 d=1 t=1583
bao di 	保底	c=3 d=1 t=15245
bao ding 	保定	c=1 d=1 t=15534
bao ding shi 	保定市	c=4 d=1.83946 t=16560
bao fu 	報復	c=1 d=1 t=10281
bao gai 	包改	c=1 d=1 t=11005
bao gao 	報告	c=1 d=1 t=17637
bao han 	包含	c=9 d=0.1 t=17185
bao hu 	保護	c=2 d=1.94649 t=13567
bao ji ge 	報幾個	c=1 d=1 t=15244
bao jian 	保健	c=2 d=1.65051 t=9396
bao kao 	報考	c=1 d=1 t=11228
bao kuo 	包括	c=5 d=1 t=11861
bao le 	報了	c=0 d=0.1 t=8645
bao li 	暴力	c=0 d=0.1 t=10047
bao lu 	暴露	c=1 d=0.100105 t=5684
bao ming 	報名	c=4 d=0.1 t=16539
bao ming le 	報名了	c=1 d=1 t=16540
bao shang 	報上	c=0 d=0.1 t=8543
bao tou 	包頭	c=1 d=1 t=3893
bao wen 	報文	c=2 d=1.61263 t=5603
bao wen jiao huan 	报文交换	c=3 d=2.77297 t=5561
bao yang 	包養	c=1 d=1 t=13083
bao yi ge 	報一個	c=1 d=1 t=8590
bao yue 	包月	c=1 d=1 t=9378
bao zha 	爆炸	c=3 d=1.89137 t=13749
bao zhe 	報着	c=1 d=1 t=12413
bao zheng 	保證	c=2 d=1 t=17705
bao zhuang 	包裝	c=0 d=0.1 t=17208
bao zhuang cheng 	包裝成	c=1 d=1 t=17209
bei 	唄	c=10 d=1.01078 t=16165
bei 	背	c=0 d=0.1 t=13802
bei 	被	c=11 d=0.885507 t=18047
bei an 	備案	c=1 d=1 t=7938
bei da 	北大	c=1 d=1 t=10372
bei dan ci 	背單詞	c=1 d=1 t=16776
bei dang zuo 	被當作	c=1 d=1 t=1587
bei fa xian 	被發現	c=1 d=1 t=17237
bei fang qi 	被放棄	c=1 d=1 t=18048
bei fen 	備份	c=0 d=0.100425 t=2894
bei hai 	被害	c=1 d=1 t=7884
bei he 	北河	c=2 d=1.956 t=15547
bei jia bao 	被家暴	c=1 d=1 t=9894
bei jing 	背景	c=10 d=1 t=15051
bei jing tu ceng 	背景图层	c=1 d=1 t=533
bei jing yan se 	背景顏色	c=1 d=1 t=3053
bei jing yin yue 	背景音樂	c=2 d=1.29969 t=3718
bei jing ying yue 	背景映月	c=1 d=1 t=3048
bei mian 	背面	c=1 d=1 t=2809
bei na ge 	唄那個	c=1 d=1 t=12691
bei ni 	被你	c=3 d=1 t=12575
bei pai ji 	被排擠	c=1 d=1 t=10044
bei qi shi 	被歧視	c=1 d=1 t=9169
bei qing qiu 	被請求	c=1 d=1 t=2021
bei ren 	被人	c=0 d=0.1 t=17138
bei shu bao 	背書包	c=1 d=1 t=13803
bei shuai 	被甩	c=2 d=1.5627 t=12898
bei wo 	被我	c=2 d=1.0002 t=12915
bei xue zhang 	被學長	c=1 d=1 t=11011
bei zhe 	背着	c=0 d=0.1 t=14492
bei zhe me 	背着麼	c=1 d=1 t=14493
ben 	本	c=1 d=1.08511 t=6958
ben 	笨	c=1 d=1 t=14261
ben bu shi 	本不是	c=0 d=0.1 t=1442
ben cang ku 	本倉庫	c=1 d=1 t=6959
ben ceng 	本層	c=1 d=1.0802 t=5663
ben ceng xie yi 	本層協議	c=1 d=1 t=5664
ben di 	本地	c=16 d=1.11769 t=17854
ben di de 	本地的	c=1 d=1 t=2027
ben di shi yong 	本地使用	c=1 d=1 t=6677
ben ke 	本科	c=5 d=1 t=17003
ben lai 	本來	c=4 d=0.100027 t=12686
ben lai da suan 	本來打算	c=1 d=1 t=12687
ben lai shu 	本來數	c=2 d=1.6157 t=11128
ben liao 	本了	c=1 d=1 t=10050
ben ren 	本人	c=1 d=1 t=14830
ben shen 	本身	c=1 d=1 t=4418
ben xiang mu 	本項目	c=2 d=1.37908 t=7304
ben zhi 	本質	c=3 d=1.95697 t=4817
ben zi 	本子	c=1 d=1 t=5217
beng da 	蹦達	c=4 d=1.9802 t=10076
beng kui 	崩潰	c=1 d=0.1 t=13571
beng kui xiu fu 	崩潰修復	c=1 d=1 t=13572
bi 	幣	c=1 d=1.1 t=4137
bi 	比	c=5 d=1.00304 t=17407
bi 	筆	c=1 d=1.09753 t=8898
